Id,Neighbourhood,Neighbourhood  Group,Latitude,Longitude,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Price,Minimum Nights,Number of Reviews,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Location
7059,Santo Antnio,Lisboa,38.721940,-9.145050,Entire rental unit,Entire home/apt,4,1,1,1,80,2,5,3,4,2.8,4.4
7060,So Vicente,Lisboa,38.719770,-9.129690,Entire rental unit,Entire home/apt,3,1,1,1,65,3,9,4.67,4.67,4.89,4.56
7061,Carcavelos e Parede,Cascais,38.689230,-9.359580,Entire loft,Entire home/apt,2,1,0,1,100,4,59,5,5,4.96,4.89
7062,Belm,Lisboa,38.695880,-9.219220,Entire rental unit,Entire home/apt,2,1,1,1,70,2,82,4.86,4.86,4.91,4.62
7063,Santa Maria Maior,Lisboa,38.715610,-9.142620,Entire rental unit,Entire home/apt,6,2,2,4,131,2,27,4.64,4.76,4.6,5
7064,Alcntara,Lisboa,38.706130,-9.177680,Room in aparthotel,Private room,2,2,1,1,44,2,8,4.5,4.88,4.75,5
7065,Areeiro,Lisboa,38.743000,-9.139820,Private room in rental unit,Private room,2,1,1,1,20,1,14,4.92,4.92,4.77,4.69
7066,Falagueira-Venda Nova,Amadora,38.757110,-9.226710,Entire rental unit,Entire home/apt,4,1,1,2,69,2,2,5,5,5,4.5
7067,Santo Antnio,Lisboa,38.716810,-9.145510,Entire rental unit,Entire home/apt,3,1,0,2,42,1,232,4.94,4.98,4.97,4.92
7068,Alcntara,Lisboa,38.698780,-9.190110,Private room in rental unit,Private room,2,2,1,1,17,1,19,4.68,4.79,4.84,5
7069,So Vicente,Lisboa,38.718290,-9.124490,Entire rental unit,Entire home/apt,6,2,3,3,80,3,19,4.95,4.95,5,4.68
7070,Lourinh e Atalaia,Lourinh,39.266300,-9.332020,Private room in hostel,Private room,2,5,1,2,50,2,2,4,5,4,5
7071,Estrela,Lisboa,38.709900,-9.153890,Entire rental unit,Entire home/apt,4,1,1,1,54,3,130,4.86,4.93,4.94,4.91
7072,Lourinh e Atalaia,Lourinh,39.266360,-9.332300,Shared room in hostel,Shared room,1,5,1,4,20,2,6,4.33,4.83,4,4.67
7073,Ajuda,Lisboa,38.702600,-9.192500,Entire rental unit,Entire home/apt,3,1,1,1,50,6,66,4.61,4.81,4.81,4.31
7074,Lourinh e Atalaia,Lourinh,39.266050,-9.331620,Shared room in hostel,Shared room,1,5,1,4,20,2,1,5,5,5,5
7075,Lourinh e Atalaia,Lourinh,39.265180,-9.331610,Private room in hostel,Private room,2,5,1,2,50,2,10,5,4.9,4.9,5
7076,Beato,Lisboa,38.734950,-9.116430,Entire rental unit,Entire home/apt,2,1,1,1,80,3,2,5,5,5,3
7077,Parque das Naes,Lisboa,38.779290,-9.094850,Entire rental unit,Entire home/apt,6,2,3,4,200,3,2,4.5,4,4,4.5
7078,Santa Maria Maior,Lisboa,38.717990,-9.136300,Entire rental unit,Entire home/apt,4,1,1,4,88,3,76,4.95,4.95,4.95,4.78
7079,Lourinh e Atalaia,Lourinh,39.265420,-9.334790,Entire rental unit,Entire home/apt,4,1,2,3,50,4,13,4.85,4.85,5,4.77
7080,Olivais,Lisboa,38.766850,-9.117380,Entire rental unit,Entire home/apt,4,1,2,3,52,1,67,4.88,4.97,4.94,4.74
7081,Misericrdia,Lisboa,38.710190,-9.144760,Entire rental unit,Entire home/apt,2,1,1,2,90,2,120,4.73,4.83,4.71,4.98
7082,Santa Maria Maior,Lisboa,38.717030,-9.135030,Entire rental unit,Entire home/apt,8,3,4,6,518,2,22,4.73,4.91,4.91,5
7083,Santo Antnio,Lisboa,38.724340,-9.143560,Private room in rental unit,Private room,1,2,5,1,358,4,1,5,5,5,5
7084,Malveira e So Miguel de Alcaina,Mafra,38.934400,-9.252630,Private room in rental unit,Private room,2,1,1,1,30,2,1,5,5,5,5
7085,Misericrdia,Lisboa,38.709110,-9.146820,Entire rental unit,Entire home/apt,6,2,3,3,97,2,88,4.24,4.5,4.25,4.8
