Id,Neighbourhood,Neighbourhood  Group,Latitude,Longitude,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Price,Minimum Nights,Number of Reviews,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Location
666,Cascais e Estoril,Cascais,38.710060,-9.434880,Private room in residential home,Private room,2,1,1,0,78,2,182,4.81,4.91,4.95,4.41
667,Misericrdia,Lisboa,38.714060,-9.143260,Entire rental unit,Entire home/apt,4,1,2,3,103,3,17,4.81,5,4.88,4.81
668,So Vicente,Lisboa,38.717820,-9.132290,Entire rental unit,Entire home/apt,6,2,3,4,70,3,2,4.5,3.5,4.5,3.5
669,Santo Isidoro,Mafra,39.003770,-9.417970,Entire rental unit,Entire home/apt,4,1,2,2,39,5,46,4.3,4.7,4.26,4.74
670,Carcavelos e Parede,Cascais,38.689970,-9.339590,Tiny house,Entire home/apt,3,1,1,3,75,3,6,4.67,4.83,4.5,4.67
671,Misericrdia,Lisboa,38.710030,-9.146810,Entire rental unit,Entire home/apt,6,1,2,4,65,3,213,4.82,4.88,4.8,4.87
672,Cascais e Estoril,Cascais,38.706850,-9.400430,Entire rental unit,Entire home/apt,3,1,0,2,150,5,1,2,1,4,4
673,Misericrdia,Lisboa,38.713810,-9.148390,Entire residential home,Entire home/apt,16,1,5,16,560,1,67,4.78,4.84,4.81,4.73
674,Alcntara,Lisboa,38.707230,-9.181450,Entire rental unit,Entire home/apt,3,1,0,2,45,5,54,4.72,4.74,4.63,4.83
675,Misericrdia,Lisboa,38.710240,-9.145330,Entire rental unit,Entire home/apt,16,2,4,12,177,1,239,4.44,4.52,4.56,4.86
676,Cascais e Estoril,Cascais,38.713500,-9.437960,Entire residential home,Entire home/apt,5,3,3,3,141,4,26,4.65,4.65,4.81,4.19
677,Santa Maria Maior,Lisboa,38.709060,-9.129570,Entire rental unit,Entire home/apt,4,1,1,2,78,4,199,4.79,4.91,4.88,4.8
678,Estrela,Lisboa,38.713280,-9.155810,Entire rental unit,Entire home/apt,2,1,1,2,68,3,109,4.85,4.93,4.97,4.65
679,Estrela,Lisboa,38.715170,-9.163590,Entire rental unit,Entire home/apt,4,1,1,1,40,2,56,4.69,4.84,4.73,4.65
680,Arroios,Lisboa,38.716050,-9.137560,Entire rental unit,Entire home/apt,2,1,1,2,68,5,125,4.81,4.88,4.79,4.74
681,Santa Maria Maior,Lisboa,38.712430,-9.128190,Entire rental unit,Entire home/apt,2,1,1,1,60,3,195,4.76,4.89,4.89,4.88
682,Carcavelos e Parede,Cascais,38.690550,-9.338510,Tiny house,Entire home/apt,2,1,0,2,68,3,7,4.67,4.67,4.83,4.5
683,Carcavelos e Parede,Cascais,38.689240,-9.340130,Entire residential home,Entire home/apt,1,1,1,2,60,3,5,4.6,5,4.2,4.8
684,Ericeira,Mafra,38.966650,-9.405890,Entire residential home,Entire home/apt,8,2,3,7,150,4,24,4.96,4.79,4.92,4.83
685,Penha de Frana,Lisboa,38.723130,-9.130860,Entire rental unit,Entire home/apt,2,1,1,1,85,2,109,4.8,4.91,4.95,4.67
686,Santa Maria Maior,Lisboa,38.713030,-9.127010,Entire rental unit,Entire home/apt,2,1,1,2,55,3,492,4.91,4.95,4.98,4.9
687,Santa Maria Maior,Lisboa,38.717450,-9.134950,Entire rental unit,Entire home/apt,2,1,1,1,34,1,292,4.64,4.87,4.88,4.61
688,So Bartolomeu dos Galegos e Moledo,Lourinh,39.292210,-9.274190,Windmill,Entire home/apt,4,1,1,2,66,2,7,5,5,5,4.86
689,Santa Maria Maior,Lisboa,38.709950,-9.133780,Entire rental unit,Entire home/apt,9,2,4,8,184,2,183,4.59,4.75,4.63,4.88
690,Santa Maria Maior,Lisboa,38.708440,-9.132890,Entire rental unit,Entire home/apt,8,2,3,8,161,2,217,4.63,4.71,4.5,4.9
691,Santa Maria Maior,Lisboa,38.710340,-9.131820,Entire rental unit,Entire home/apt,5,1,2,5,87,2,202,4.73,4.88,4.66,4.96
692,Misericrdia,Lisboa,38.709330,-9.148690,Entire serviced apartment,Entire home/apt,4,1,2,2,53,1,119,4.2,4.4,4.35,4.73
693,Misericrdia,Lisboa,38.708400,-9.150630,Entire rental unit,Entire home/apt,4,1,0,4,37,1,308,4.68,4.85,4.73,4.84
694,Arroios,Lisboa,38.724170,-9.138630,Entire residential home,Entire home/apt,3,1,2,2,55,1,60,4.12,4.35,4.31,4.51
695,Santa Maria Maior,Lisboa,38.716650,-9.134030,Entire condominium (condo),Entire home/apt,6,1,2,2,60,3,220,4.54,4.69,4.78,4.51
696,Areeiro,Lisboa,38.737900,-9.134460,Private room in rental unit,Private room,2,2,1,2,32,1,66,4.16,4.29,4.38,4.61
697,Santa Maria Maior,Lisboa,38.711310,-9.128370,Entire rental unit,Entire home/apt,6,1,2,3,64,2,304,4.86,4.88,4.94,4.84
698,Misericrdia,Lisboa,38.708889,-9.146260,Entire rental unit,Entire home/apt,3,1,1,2,58,1,332,4.45,4.63,4.56,4.76
699,Misericrdia,Lisboa,38.708904,-9.146249,Entire rental unit,Entire home/apt,4,1,1,2,63,1,245,4.58,4.72,4.56,4.81
700,Arroios,Lisboa,38.734070,-9.132550,Private room in rental unit,Private room,2,1,1,1,19,1,358,4.62,4.79,4.64,4.66
701,Arroios,Lisboa,38.726120,-9.130850,Entire rental unit,Entire home/apt,4,2,2,2,95,3,77,4.67,4.81,4.99,4.55
702,So Vicente,Lisboa,38.713436,-9.125277,Entire rental unit,Entire home/apt,10,3,4,7,235,2,81,4.69,4.64,4.7,4.8
703,Misericrdia,Lisboa,38.709730,-9.146490,Entire rental unit,Entire home/apt,4,2,2,3,140,3,319,4.75,4.83,4.83,4.9
704,Santo Isidoro,Mafra,38.987700,-9.369770,Entire residential home,Entire home/apt,8,3,6,0,130,3,4,5,5,4.75,5
705,Ericeira,Mafra,38.971670,-9.418600,Entire residential home,Entire home/apt,6,1,3,4,65,5,11,4.82,4.64,4.55,4.82
706,Santo Isidoro,Mafra,38.994320,-9.397750,Entire residential home,Entire home/apt,6,2,3,6,65,4,1,5,5,5,5
707,Ericeira,Mafra,38.968900,-9.419630,Entire residential home,Entire home/apt,4,1,2,0,80,5,3,5,5,5,5
708,Colares,Sintra,38.833630,-9.467450,Entire residential home,Entire home/apt,6,3,3,5,130,6,10,4.6,4.7,4.2,4.6
709,Misericrdia,Lisboa,38.716120,-9.152470,Entire rental unit,Entire home/apt,2,1,0,1,48,3,39,4.81,4.75,4.83,4.83
710,Ericeira,Mafra,38.985870,-9.417770,Entire rental unit,Entire home/apt,10,3,3,7,84,4,29,4.76,4.72,4.69,4.55
711,Misericrdia,Lisboa,38.711490,-9.151270,Entire rental unit,Entire home/apt,4,1,1,1,40,2,251,4.49,4.68,4.59,4.75
712,Misericrdia,Lisboa,38.707680,-9.148740,Entire serviced apartment,Entire home/apt,4,1,1,1,50,1,28,4.48,4.48,4.68,4.96
713,Santa Maria Maior,Lisboa,38.710450,-9.134460,Entire rental unit,Entire home/apt,6,3,2,5,100,3,81,4.73,4.85,4.79,4.9
714,Misericrdia,Lisboa,38.709760,-9.147090,Entire rental unit,Entire home/apt,2,1,1,1,40,1,1,5,5,5,5
715,Misericrdia,Lisboa,38.708020,-9.148650,Entire serviced apartment,Entire home/apt,4,1,1,2,50,1,25,4.13,4.38,4.25,4.59
716,Misericrdia,Lisboa,38.707670,-9.146520,Entire loft,Entire home/apt,2,1,0,1,49,1,6,4,4.33,3.5,4.5
717,Santa Maria Maior,Lisboa,38.710660,-9.128770,Entire rental unit,Entire home/apt,2,1,1,1,45,1,161,4.45,4.63,4.24,4.89
718,Reguengo Grande,Lourinh,39.293550,-9.213170,Entire villa,Entire home/apt,10,4,5,6,99,7,13,4.46,4.46,4.54,4.15
719,Santa Maria Maior,Lisboa,38.716350,-9.133050,Entire rental unit,Entire home/apt,3,1,1,2,60,2,247,4.48,4.79,4.53,4.52
720,Santo Antnio,Lisboa,38.717300,-9.150150,Entire rental unit,Entire home/apt,4,1,2,2,148,5,39,4.74,4.82,4.67,4.92
721,So Vicente,Lisboa,38.713540,-9.125760,Entire rental unit,Entire home/apt,3,1,2,2,46,3,235,4.86,4.93,4.89,4.94
722,Ericeira,Mafra,38.967510,-9.418310,Entire rental unit,Entire home/apt,5,1,2,3,77,4,6,4.5,4.67,4.5,4.67
723,Misericrdia,Lisboa,38.710900,-9.148760,Entire rental unit,Entire home/apt,4,1,1,2,70,3,124,4.81,4.84,4.87,4.9
724,So Vicente,Lisboa,38.714480,-9.130790,Entire rental unit,Entire home/apt,4,1,2,2,65,3,275,4.49,4.45,4.59,4.8
725,Alcabideche,Cascais,38.723255,-9.414909,Entire rental unit,Entire home/apt,5,2,2,3,85,4,30,4.7,4.67,4.73,4.77
726,Arroios,Lisboa,38.716340,-9.138370,Entire rental unit,Entire home/apt,5,2,3,3,119,3,48,4.65,4.66,4.83,4.59
727,Arroios,Lisboa,38.716410,-9.139490,Entire rental unit,Entire home/apt,2,1,1,1,89,3,21,4.38,4.65,5,4.55
728,Cascais e Estoril,Cascais,38.696760,-9.423640,Entire rental unit,Entire home/apt,4,1,1,2,45,3,123,4.8,4.93,4.88,4.93
729,Estrela,Lisboa,38.709070,-9.156580,Entire rental unit,Entire home/apt,4,1,2,3,80,1,264,4.91,4.93,4.95,4.81
730,Ericeira,Mafra,38.968060,-9.418810,Entire rental unit,Entire home/apt,3,1,1,1,65,3,1,5,5,5,5
731,Ericeira,Mafra,38.967200,-9.418970,Entire rental unit,Entire home/apt,4,1,2,3,80,5,38,4.63,4.79,4.79,5
732,Santa Maria Maior,Lisboa,38.711560,-9.128520,Entire rental unit,Entire home/apt,3,2,1,1,44,1,386,4.53,4.69,4.79,4.86
733,Santo Antnio,Lisboa,38.720630,-9.144200,Entire rental unit,Entire home/apt,3,1,1,1,43,1,52,4.75,4.88,4.9,4.88
734,Santa Maria Maior,Lisboa,38.711610,-9.139740,Entire rental unit,Entire home/apt,9,2,3,6,155,1,135,4.85,4.87,4.91,4.96
735,Campo de Ourique,Lisboa,38.719370,-9.156970,Private room in rental unit,Private room,2,0,1,1,35,1,12,4.5,4.64,4.25,4.55
736,Misericrdia,Lisboa,38.708330,-9.147470,Entire rental unit,Entire home/apt,4,1,1,1,60,1,28,4.5,4.64,4.68,4.7
737,Ericeira,Mafra,38.951960,-9.410680,Entire condominium (condo),Entire home/apt,3,1,1,1,21,4,120,4.59,4.71,4.5,4.52
738,Santa Maria Maior,Lisboa,38.711610,-9.139740,Entire rental unit,Entire home/apt,10,2,3,10,171,1,123,4.7,4.76,4.89,4.93
739,Santa Maria Maior,Lisboa,38.713990,-9.134850,Entire rental unit,Entire home/apt,3,1,1,1,50,4,160,4.47,4.6,4.7,4.77
740,So Vicente,Lisboa,38.719340,-9.120680,Entire rental unit,Entire home/apt,5,1,2,3,60,2,166,4.58,4.7,4.66,4.49
741,So Vicente,Lisboa,38.715330,-9.131720,Entire rental unit,Entire home/apt,5,1,3,3,100,3,77,4.93,4.93,4.96,4.91
742,Misericrdia,Lisboa,38.710340,-9.143850,Entire rental unit,Entire home/apt,4,2,2,3,90,2,64,4.76,4.87,4.68,4.9
743,Santa Maria Maior,Lisboa,38.712720,-9.128470,Entire rental unit,Entire home/apt,4,1,1,0,70,3,124,4.48,4.71,4.43,4.94
744,So Vicente,Lisboa,38.719620,-9.121400,Entire rental unit,Entire home/apt,4,1,1,0,45,2,51,4.82,4.84,4.67,4.78
745,Arroios,Lisboa,38.716590,-9.137690,Entire rental unit,Entire home/apt,4,1,2,2,139,3,24,4.91,4.96,4.78,4.86
746,Arroios,Lisboa,38.716260,-9.137470,Entire rental unit,Entire home/apt,4,1,1,1,75,5,5,4.4,4.8,5,4.6
747,Cascais e Estoril,Cascais,38.696050,-9.426350,Private room in guest suite,Private room,2,1,1,2,75,3,59,4.76,4.81,4.79,4.93
748,Santa Maria Maior,Lisboa,38.711610,-9.139740,Entire rental unit,Entire home/apt,9,2,3,6,158,1,78,4.74,4.85,4.86,4.95
749,Santa Maria Maior,Lisboa,38.711610,-9.139740,Entire rental unit,Entire home/apt,10,2,3,8,148,1,89,4.7,4.8,4.9,4.89
750,Misericrdia,Lisboa,38.715130,-9.147080,Entire rental unit,Entire home/apt,5,1,2,3,87,2,274,4.61,4.84,4.69,4.84
751,Colares,Sintra,38.793480,-9.463320,Entire residential home,Entire home/apt,3,1,1,2,57,2,248,4.86,4.87,4.93,4.81
752,Carcavelos e Parede,Cascais,38.680610,-9.329830,Entire rental unit,Entire home/apt,3,1,1,2,50,7,47,4.72,4.87,4.81,4.76
753,Santo Quintino,Sobral De Monte Agrao,39.031780,-9.126030,Private room in bed and breakfast,Private room,7,4,4,6,345,2,1,1,1,2,4
754,Santa Maria Maior,Lisboa,38.712020,-9.129870,Entire loft,Entire home/apt,4,2,1,1,65,4,293,4.79,4.9,4.89,4.9
755,Santa Maria Maior,Lisboa,38.709180,-9.132520,Entire rental unit,Entire home/apt,4,1,2,4,70,3,78,4.76,4.87,4.72,4.96
756,Santa Maria Maior,Lisboa,38.711440,-9.128180,Entire rental unit,Entire home/apt,4,1,2,3,64,2,217,4.84,4.92,4.93,4.83
757,So Vicente,Lisboa,38.719560,-9.131900,Entire rental unit,Entire home/apt,4,1,2,2,109,1,397,4.8,4.77,4.76,4.83
758,Cascais e Estoril,Cascais,38.703350,-9.424610,Entire rental unit,Entire home/apt,5,2,2,4,110,4,34,4.44,4.87,4.61,4.79
759,Estrela,Lisboa,38.708820,-9.154070,Entire rental unit,Entire home/apt,5,2,3,3,85,2,136,4.75,4.86,4.8,4.73
760,Santa Maria Maior,Lisboa,38.712020,-9.135400,Entire rental unit,Entire home/apt,4,1,2,2,76,3,187,4.68,4.75,4.72,4.9
761,Alvalade,Lisboa,38.750700,-9.135110,Entire rental unit,Entire home/apt,6,1,2,6,56,3,78,4.86,4.88,4.91,4.7
762,Santa Maria Maior,Lisboa,38.712720,-9.128670,Private room in rental unit,Private room,2,1,1,1,28,2,242,4.77,4.83,4.6,4.91
763,Santa Maria Maior,Lisboa,38.711350,-9.136160,Private room in rental unit,Private room,2,3,1,1,34,1,95,4.65,4.8,4.77,4.93
764,Alcabideche,Cascais,38.734530,-9.370870,Entire rental unit,Entire home/apt,6,1,1,3,130,3,3,4.67,5,4.67,4.33
765,Santa Maria Maior,Lisboa,38.711700,-9.126670,Entire rental unit,Entire home/apt,2,1,0,1,48,3,435,4.82,4.91,4.92,4.83
766,Santa Maria Maior,Lisboa,38.712930,-9.130470,Entire rental unit,Entire home/apt,3,1,1,2,47,2,131,4.71,4.76,4.79,4.74
767,Carcavelos e Parede,Cascais,38.691910,-9.353670,Entire rental unit,Entire home/apt,6,2,4,4,95,3,25,4.6,4.79,4.32,4.78
768,Santa Maria Maior,Lisboa,38.712950,-9.130140,Entire rental unit,Entire home/apt,2,1,0,1,38,2,267,4.82,4.86,4.86,4.88
769,Santo Antnio,Lisboa,38.720100,-9.144170,Entire rental unit,Entire home/apt,5,1,2,4,112,4,243,4.88,4.94,4.92,4.82
770,Santo Antnio,Lisboa,38.717060,-9.147320,Entire rental unit,Entire home/apt,16,3,7,13,322,2,212,4.72,4.71,4.74,4.82
771,Santa Maria Maior,Lisboa,38.710390,-9.129810,Private room in rental unit,Private room,2,1,1,1,28,1,230,4.65,4.77,4.56,4.9
772,Avenidas Novas,Lisboa,38.729950,-9.148620,Entire rental unit,Entire home/apt,5,2,2,4,94,2,118,4.86,4.96,4.88,4.82
773,Misericrdia,Lisboa,38.713320,-9.143060,Entire rental unit,Entire home/apt,4,1,1,1,93,3,29,4.83,4.79,4.9,4.83
774,Santa Maria Maior,Lisboa,38.712540,-9.124790,Entire rental unit,Entire home/apt,8,3,3,7,235,2,95,4.78,4.83,4.79,4.89
775,Arroios,Lisboa,38.716470,-9.138610,Entire rental unit,Entire home/apt,5,1,2,3,54,2,329,4.59,4.74,4.65,4.74
776,Marvila,Lisboa,38.748430,-9.108250,Entire serviced apartment,Entire home/apt,4,1,2,2,52,3,40,4.63,4.8,4.7,4.05
777,Campo de Ourique,Lisboa,38.715910,-9.165750,Entire rental unit,Entire home/apt,4,1,2,3,42,4,156,4.76,4.86,4.87,4.75
778,So Vicente,Lisboa,38.718570,-9.133650,Entire rental unit,Entire home/apt,2,1,1,1,68,3,360,4.82,4.84,4.83,4.81
779,Santa Maria Maior,Lisboa,38.712670,-9.125540,Entire rental unit,Entire home/apt,2,1,1,1,60,3,146,4.66,4.85,4.83,4.63
780,Colares,Sintra,38.842120,-9.457290,Entire residential home,Entire home/apt,4,1,1,2,60,6,11,4.82,4.82,4.64,4.9
781,So Vicente,Lisboa,38.713860,-9.128670,Entire rental unit,Entire home/apt,4,1,2,3,69,5,101,4.58,4.7,4.63,4.81
782,Misericrdia,Lisboa,38.710340,-9.150810,Entire rental unit,Entire home/apt,6,1,3,3,100,2,5,3.4,3.6,4.75,4.5
783,Cascais e Estoril,Cascais,38.700890,-9.446840,Entire rental unit,Entire home/apt,6,2,2,0,100,6,9,4.44,4.56,4.44,4.44
784,Ericeira,Mafra,38.963800,-9.415750,Entire rental unit,Entire home/apt,4,2,2,4,82,2,3,4.5,4.5,4.5,5
785,Ericeira,Mafra,38.972950,-9.414470,Entire condominium (condo),Entire home/apt,4,1,2,2,84,5,41,4.82,4.97,4.95,4.67
786,Misericrdia,Lisboa,38.706770,-9.143880,Private room in rental unit,Private room,2,1,1,1,29,1,329,4.51,4.76,4.77,4.86
787,Santa Maria Maior,Lisboa,38.713610,-9.138580,Entire rental unit,Entire home/apt,6,1,3,3,79,2,410,4.77,4.89,4.83,4.93
788,Santa Maria Maior,Lisboa,38.712500,-9.141270,Entire rental unit,Entire home/apt,6,1,3,3,132,1,226,4.8,4.84,4.86,4.93
789,Benfica,Lisboa,38.750860,-9.199410,Private room in rental unit,Private room,1,1,0,1,20,3,4,5,5,4.5,5
790,Cascais e Estoril,Cascais,38.690490,-9.424080,Private room in resort,Private room,3,1,1,3,120,3,16,4.75,4.69,4.56,4.88
791,Santa Maria Maior,Lisboa,38.708280,-9.130250,Private room in rental unit,Private room,3,2,1,2,35,3,223,4.69,4.75,4.8,4.85
792,Carcavelos e Parede,Cascais,38.686570,-9.350120,Entire condominium (condo),Entire home/apt,6,3,2,4,85,3,72,4.82,4.79,4.9,4.83
793,Arroios,Lisboa,38.715752,-9.138721,Entire rental unit,Entire home/apt,2,1,1,1,60,2,31,4.87,4.87,4.81,4.97
794,Mafra,Mafra,38.939450,-9.343780,Private room in residential home,Private room,2,1,1,1,45,1,2,5,5,5,5
795,Misericrdia,Lisboa,38.713720,-9.145000,Entire rental unit,Entire home/apt,4,1,2,3,50,2,232,4.62,4.76,4.63,4.65
796,Santa Maria Maior,Lisboa,38.713620,-9.135550,Entire rental unit,Entire home/apt,4,1,2,4,70,3,194,4.83,4.87,4.86,4.89
797,Ericeira,Mafra,38.968530,-9.417710,Entire rental unit,Entire home/apt,5,1,2,3,65,6,44,4.77,4.84,4.89,4.79
798,Santa Maria Maior,Lisboa,38.709530,-9.137740,Entire rental unit,Entire home/apt,4,1,1,5,72,2,53,4.81,4.83,4.91,4.98
799,Misericrdia,Lisboa,38.708050,-9.145600,Entire rental unit,Entire home/apt,3,1,2,2,76,2,154,4.88,4.93,4.97,4.91
800,Marvila,Lisboa,38.758560,-9.120570,Private room in rental unit,Private room,2,1,1,2,21,1,62,4.25,4.45,4.69,4
801,Lamas e Cercal,Cadaval,39.196100,-9.064700,Entire villa,Entire home/apt,8,2,4,5,49,6,74,4.7,4.88,4.58,4.76
802,Santa Maria Maior,Lisboa,38.715060,-9.135970,Entire rental unit,Entire home/apt,2,1,1,1,50,2,137,4.94,4.96,4.95,4.91
803,Santa Maria Maior,Lisboa,38.711370,-9.133150,Entire rental unit,Entire home/apt,8,2,4,7,170,3,216,4.93,4.99,4.96,4.98
804,Santo Antnio,Lisboa,38.723940,-9.148510,Entire serviced apartment,Entire home/apt,8,2,3,6,201,2,5,4.8,4.8,4.6,4.8
805,Santa Maria Maior,Lisboa,38.710630,-9.134180,Entire rental unit,Entire home/apt,2,1,1,2,59,2,435,4.92,4.91,4.93,4.95
806,Cascais e Estoril,Cascais,38.696820,-9.425840,Private room in hostel,Private room,2,1,1,2,30,1,98,4.44,4.63,4.49,4.85
807,Belm,Lisboa,38.701040,-9.202130,Entire rental unit,Entire home/apt,5,1,2,2,55,1,176,4.65,4.87,4.74,4.85
808,Alcntara,Lisboa,38.704950,-9.188880,Entire rental unit,Entire home/apt,5,1,3,3,63,2,15,4.14,4.85,4.29,4
809,So Vicente,Lisboa,38.720500,-9.130780,Entire loft,Entire home/apt,4,1,1,2,42,2,49,4,4.43,4.26,4.41
810,Arroios,Lisboa,38.723890,-9.133210,Entire rental unit,Entire home/apt,7,2,3,4,100,3,36,4.69,4.61,4.56,4.58
811,Santa Maria Maior,Lisboa,38.710680,-9.138410,Entire rental unit,Entire home/apt,6,1,2,3,63,2,151,4.41,4.59,4.46,4.85
812,So Vicente,Lisboa,38.713620,-9.127550,Entire rental unit,Entire home/apt,2,1,1,1,50,2,464,4.81,4.84,4.95,4.86
813,Santa Maria Maior,Lisboa,38.712140,-9.135950,Entire rental unit,Entire home/apt,4,1,1,2,53,1,178,4.34,4.59,4.46,4.9
814,Santa Maria Maior,Lisboa,38.710910,-9.142360,Room in boutique hotel,Private room,2,1,1,1,141,2,49,4.57,4.68,4.9,4.96
815,So Vicente,Lisboa,38.715630,-9.125500,Entire rental unit,Entire home/apt,2,1,0,1,48,30,261,4.72,4.77,4.74,4.73
816,Arroios,Lisboa,38.716740,-9.138790,Entire rental unit,Entire home/apt,2,1,1,2,45,3,152,4.63,4.77,4.55,4.79
817,Santa Maria Maior,Lisboa,38.713000,-9.126950,Entire rental unit,Entire home/apt,2,1,1,1,50,2,341,4.82,4.91,4.82,4.85
818,Benfica,Lisboa,38.750950,-9.199770,Private room in rental unit,Private room,1,1,1,1,18,3,7,4.71,4.57,4.57,4.57
819,Santa Maria Maior,Lisboa,38.714350,-9.135850,Entire rental unit,Entire home/apt,3,1,1,1,65,3,333,4.84,4.9,4.85,4.91
820,Colares,Sintra,38.791750,-9.475260,Entire chalet,Entire home/apt,5,1,3,5,99,7,8,4.88,4.88,4.75,4.88
821,Misericrdia,Lisboa,38.713110,-9.144390,Entire rental unit,Entire home/apt,2,1,1,2,65,7,16,4.56,4.81,4.38,4.81
822,Cascais e Estoril,Cascais,38.698050,-9.422180,Entire rental unit,Entire home/apt,6,1,2,4,100,4,54,4.81,4.89,4.77,4.85
823,So Vicente,Lisboa,38.717350,-9.127980,Entire rental unit,Entire home/apt,2,1,1,1,40,2,230,4.78,4.92,4.84,4.79
824,Carcavelos e Parede,Cascais,38.697670,-9.330920,Entire rental unit,Entire home/apt,4,1,2,3,59,2,27,4.81,4.93,4.93,4.67
825,Ericeira,Mafra,38.963490,-9.418180,Entire rental unit,Entire home/apt,6,1,3,5,155,4,15,4.73,4.5,4.29,5
826,Lourinh e Atalaia,Lourinh,39.261270,-9.328160,Private room in residential home,Private room,4,1,4,4,78,1,12,5,4.92,4.75,4.92
827,Santa Maria Maior,Lisboa,38.710130,-9.132590,Entire rental unit,Entire home/apt,6,2,3,4,79,3,10,4.4,4.6,4.5,4.7
828,Santa Maria Maior,Lisboa,38.710420,-9.132670,Entire rental unit,Entire home/apt,4,2,2,2,65,3,5,4.2,4.4,3.4,5
829,Santa Maria Maior,Lisboa,38.711150,-9.136090,Entire rental unit,Entire home/apt,5,1,1,3,60,4,48,4.69,4.87,4.69,5
830,Arroios,Lisboa,38.720540,-9.137780,Entire rental unit,Entire home/apt,4,1,2,2,80,1,149,4.89,4.91,4.91,4.73
831,Misericrdia,Lisboa,38.709220,-9.152160,Entire rental unit,Entire home/apt,6,1,3,4,59,1,287,4.54,4.62,4.69,4.7
832,Arroios,Lisboa,38.716750,-9.137630,Entire rental unit,Entire home/apt,4,1,2,3,62,2,286,4.8,4.84,4.87,4.73
833,Belm,Lisboa,38.699150,-9.204970,Entire residential home,Entire home/apt,4,1,2,2,65,3,162,4.84,4.89,4.87,4.86
834,Santo Antnio,Lisboa,38.720710,-9.154180,Entire rental unit,Entire home/apt,4,1,2,2,90,3,204,4.93,4.97,4.96,4.86
835,Arroios,Lisboa,38.734660,-9.135570,Entire rental unit,Entire home/apt,4,1,2,3,84,2,24,4.79,4.71,4.88,4.42
836,Misericrdia,Lisboa,38.714170,-9.146270,Entire rental unit,Entire home/apt,4,1,2,2,44,3,189,4.53,4.58,4.61,4.75
837,Santo Antnio,Lisboa,38.719270,-9.142810,Entire rental unit,Entire home/apt,4,2,1,2,72,2,144,4.94,4.97,4.96,4.92
838,Cascais e Estoril,Cascais,38.699080,-9.422330,Entire rental unit,Entire home/apt,6,1,2,4,91,3,55,4.77,4.85,4.64,4.83
839,Belm,Lisboa,38.697800,-9.202030,Private room in rental unit,Private room,2,1,1,1,15,2,88,4.36,4.59,4.76,4.89
840,Arroios,Lisboa,38.728350,-9.135950,Private room in rental unit,Private room,2,1,2,1,36,3,4,4.75,4.75,5,4.75
841,Belm,Lisboa,38.694890,-9.211160,Entire condominium (condo),Entire home/apt,2,1,1,1,67,3,96,4.94,4.96,4.99,4.89
842,Santa Maria Maior,Lisboa,38.711690,-9.127020,Entire rental unit,Entire home/apt,4,1,1,2,60,5,129,4.63,4.83,4.56,4.83
843,Santa Maria Maior,Lisboa,38.712830,-9.132310,Entire rental unit,Entire home/apt,2,1,1,1,49,2,227,4.86,4.89,4.82,4.93
844,Lourinh e Atalaia,Lourinh,39.267840,-9.312070,Entire villa,Entire home/apt,5,2,2,5,50,7,1,5,5,5,5
845,Santa Maria Maior,Lisboa,38.712640,-9.125670,Entire rental unit,Entire home/apt,2,1,0,1,58,4,181,4.87,4.91,4.95,4.89
846,Penha de Frana,Lisboa,38.731910,-9.131500,Entire rental unit,Entire home/apt,4,2,2,3,58,3,257,4.68,4.85,4.87,4.64
847,Carnaxide e Queijas,Oeiras,38.724260,-9.248400,Entire villa,Entire home/apt,5,4,3,5,180,3,15,4.71,4.93,4.5,4.5
848,Santa Maria Maior,Lisboa,38.710750,-9.136700,Entire rental unit,Entire home/apt,6,2,3,3,72,2,281,4.5,4.59,4.67,4.89
849,Misericrdia,Lisboa,38.712650,-9.152100,Entire rental unit,Entire home/apt,2,1,1,1,49,5,137,4.76,4.87,4.85,4.64
850,Santa Maria Maior,Lisboa,38.710480,-9.138440,Entire rental unit,Entire home/apt,6,2,2,3,89,2,193,4.57,4.69,4.68,4.92
851,Santo Antnio,Lisboa,38.718950,-9.149520,Entire rental unit,Entire home/apt,3,1,1,1,44,3,289,4.89,4.94,4.94,4.9
852,Colares,Sintra,38.814290,-9.476930,Entire rental unit,Entire home/apt,4,1,1,4,95,3,63,4.43,4.68,4.49,4.76
853,Santa Maria Maior,Lisboa,38.713280,-9.142270,Entire rental unit,Entire home/apt,5,1,2,3,68,2,227,4.82,4.85,4.88,4.93
854,Santa Maria Maior,Lisboa,38.713810,-9.135530,Entire rental unit,Entire home/apt,4,1,2,3,53,2,254,4.71,4.78,4.85,4.89
855,Misericrdia,Lisboa,38.709610,-9.150470,Entire rental unit,Entire home/apt,4,1,1,2,45,1,258,4.58,4.67,4.79,4.72
856,So Vicente,Lisboa,38.715490,-9.122780,Entire rental unit,Entire home/apt,5,1,2,4,50,3,203,4.52,4.74,4.74,4.74
857,Parque das Naes,Lisboa,38.757580,-9.100640,Entire rental unit,Entire home/apt,5,1,1,2,149,2,71,4.36,4.69,4.43,4.24
858,Misericrdia,Lisboa,38.714370,-9.148210,Entire rental unit,Entire home/apt,2,1,0,1,50,30,14,4.93,4.93,4.93,5
